연,월,도,시군구,월별 수요량
2022,04,충남,논산시,39937
2022,04,충남,당진시,32242
2022,04,충남,보령시,26383
2022,04,충남,부여군,20288
2022,04,충남,서산시,16221
2022,04,충남,서천군,21723
2022,04,충남,아산시,59087
2022,04,충남,예산군,38431
2022,04,충남,천안시,144196
2022,04,충남,청양군,3367
2022,04,충남,태안군,14742
2022,04,충남,홍성군,28673
2022,04,충북,괴산군,25285
2022,04,충북,단양군,22714
2022,04,충북,보은군,18185
2022,04,충북,영동군,21800
2022,04,충북,옥천군,35562
2022,04,충북,음성군,25430
2022,04,충북,제천시,12492
2022,04,충북,증평군,3365
2022,04,충북,진천군,15962
2022,04,충북,청주시,159593
2022,04,충북,충주시,64058
2022,05,강원,강릉시,27765
2022,05,강원,고성군,6261
2022,05,강원,동해시,20521
2022,05,강원,삼척시,12585
2022,05,강원,속초시,24850
2022,05,강원,양구군,11539
2022,05,강원,양양군,13840
2022,05,강원,영월군,4266
2022,05,강원,원주시,72296
2022,05,강원,인제군,29244
2022,05,강원,정선군,10290
2022,05,강원,철원군,11542
2022,05,강원,춘천시,46700
2022,05,강원,태백시,6429
2022,05,강원,평창군,30086
2022,05,강원,홍천군,33678
2022,05,강원,화천군,4812
2022,05,강원,횡성군,24531
2022,05,경기,가평군,35651
2022,05,경기,고양시,40095
2022,05,경기,과천시,8661
2022,05,경기,광명시,46648
2022,05,경기,광주시,20213
2022,05,경기,구리시,12568
2022,05,경기,군포시,6656
2022,05,경기,김포시,22685
2022,05,경기,남양주시,45294
2022,05,경기,동두천시,2060
2022,05,경기,부천시,49661
2022,05,경기,성남시,55560
2022,05,경기,수원시,35540
2022,05,경기,시흥시,33484
2022,05,경기,안산시,80936
2022,05,경기,안성시,42716
2022,05,경기,안양시,13698
2022,05,경기,양주시,34922
2022,05,경기,양평군,16119
2022,05,경기,여주시,44878
2022,05,경기,연천군,1219
2022,05,경기,오산시,15009
2022,05,경기,용인시,18486
2022,05,경기,의왕시,7329
2022,05,경기,의정부시,5132
2022,05,경기,이천시,25883
2022,05,경기,파주시,15869
2022,05,경기,평택시,37008
2022,05,경기,포천시,17138
2022,05,경기,하남시,80551
2022,05,경기,화성시,31437
2022,05,경남,거제시,25867
2022,05,경남,거창군,22058
2022,05,경남,고성군,12300
2022,05,경남,김해시,75129
2022,05,경남,남해군,10571
2022,05,경남,밀양시,13527
2022,05,경남,사천시,27905
2022,05,경남,산청군,12840
2022,05,경남,양산시,67116
2022,05,경남,의령군,3796
2022,05,경남,진주시,43591
2022,05,경남,창녕군,15488
2022,05,경남,창원시,67478
2022,05,경남,통영시,11271
2022,05,경남,하동군,6497
2022,05,경남,함안군,28768
2022,05,경남,함양군,18058
2022,05,경남,합천군,3851
2022,05,경북,경산시,50489
2022,05,경북,경주시,94289
2022,05,경북,고령군,16882
2022,05,경북,구미시,92887
2022,05,경북,군위군,46350
2022,05,경북,김천시,37843
2022,05,경북,문경시,47123
2022,05,경북,봉화군,11385
2022,05,경북,상주시,21465
2022,05,경북,성주군,35972
2022,05,경북,안동시,36123
2022,05,경북,영덕군,15066
2022,05,경북,영양군,6047
2022,05,경북,영주시,14581
2022,05,경북,영천시,43556
2022,05,경북,예천군,14039
2022,05,경북,울릉군,0
2022,05,경북,울진군,16535
2022,05,경북,의성군,29864
2022,05,경북,청도군,25019
2022,05,경북,청송군,18613
2022,05,경북,칠곡군,71703
2022,05,경북,포항시,74222
2022,05,광주,광산구,38015
2022,05,광주,남구,116035
2022,05,광주,동구,12231
2022,05,광주,북구,24286
2022,05,광주,서구,25549
2022,05,대구,남구,14143
2022,05,대구,달서구,60489
2022,05,대구,달성군,76416
2022,05,대구,동구,17326
2022,05,대구,북구,82565
2022,05,대구,서구,2125
2022,05,대구,수성구,256407
2022,05,대구,중구,4058
2022,05,대전,대덕구,33734
2022,05,대전,동구,16123
2022,05,대전,서구,78826
2022,05,대전,유성구,55388
2022,05,대전,중구,23971
2022,05,부산,강서구,8795
2022,05,부산,금정구,8500
2022,05,부산,기장군,47094
2022,05,부산,남구,1693
2022,05,부산,동래구,7032
2022,05,부산,부산진구,190629
2022,05,부산,북구,9285
2022,05,부산,사상구,10808
2022,05,부산,사하구,6739
2022,05,부산,수영구,8611
2022,05,부산,연제구,10870
2022,05,부산,영도구,2925
2022,05,부산,중구,8190
2022,05,부산,해운대구,7525
2022,05,서울,강남구,39122
2022,05,서울,강동구,8336
2022,05,서울,강북구,4430
2022,05,서울,강서구,14526
2022,05,서울,관악구,30028
2022,05,서울,광진구,8861
2022,05,서울,구로구,5865
2022,05,서울,금천구,11913
2022,05,서울,노원구,23162
2022,05,서울,도봉구,14603
2022,05,서울,동대문구,7054
2022,05,서울,동작구,5806
2022,05,서울,마포구,37448
2022,05,서울,서대문구,8618
2022,05,서울,서초구,24339
2022,05,서울,성동구,43021
2022,05,서울,성북구,6668
2022,05,서울,송파구,22879
2022,05,서울,양천구,34506
2022,05,서울,영등포구,42282
2022,05,서울,용산구,7483
2022,05,서울,은평구,18576
2022,05,서울,종로구,15126
